Time Floor FloorButton Carbutton
13:13:41.0 2 Up 12
13:34:01.0 5 Up 19
19:30:30.0 12 Down 11
11:41:48.0 6 Down 4
11:56:04.0 5 Down 2
07:13:29.0 16 Down 14
06:39:55.0 18 Down 1
20:15:07.0 15 Up 15
01:51:47.0 11 Down 10
11:54:50.0 11 Down 4
02:42:40.0 11 Up 13
21:13:20.0 4 Down 2
00:36:16.0 20 Down 9
18:18:59.0 17 Up 18
12:05:31.0 16 Up 18
22:35:50.0 17 Up 18
17:54:53.0 1 Up 19
09:52:22.0 16 Up 17
13:50:10.0 16 Down 4
10:21:03.0 19 Up 20
22:00:30.0 3 Down 1
18:11:53.0 3 Up 20
12:56:36.0 2 Down 1
06:49:44.0 15 Up 15
13:55:37.0 17 Down 11
06:18:38.0 7 Down 2
00:07:33.0 2 Down 1
13:21:26.0 17 Up 21
21:55:54.0 2 Up 8
13:03:01.0 3 Down 1
23:08:57.0 15 Up 20
14:19:48.0 20 Down 14
11:16:21.0 12 Down 2
05:19:46.0 9 Down 5
09:48:49.0 20 Up 21
17:33:08.0 14 Down 4
16:55:01.0 3 Down 2
22:37:24.0 3 Down 2
09:05:29.0 8 Up 10
07:06:54.0 13 Up 15
23:47:47.0 3 Up 11
21:59:56.0 8 Up 9
00:37:08.0 3 Up 21
16:34:29.0 19 Up 19
19:04:17.0 8 Down 6
04:37:06.0 13 Up 20
21:26:43.0 8 Up 13
10:45:09.0 1 Up 11
21:09:19.0 15 Down 13
01:32:05.0 21 Up 21
16:13:48.0 11 Up 15
19:57:21.0 9 Down 6
13:19:53.0 20 Down 13
16:14:06.0 17 Up 20
13:56:09.0 9 Up 18
23:59:08.0 9 Down 8
00:24:20.0 9 Up 13
13:30:15.0 11 Up 13
02:17:35.0 16 Down 1
15:20:31.0 21 Down 6
23:56:10.0 18 Down 3
03:19:13.0 12 Up 13
18:35:05.0 1 Up 7
14:12:57.0 2 Down 1
23:16:37.0 14 Down 7
04:43:33.0 13 Down 7
02:06:16.0 1 Up 9
06:12:04.0 15 Up 19
20:23:22.0 4 Down 3
12:09:08.0 11 Up 16
13:01:40.0 9 Down 4
20:42:29.0 9 Up 17
02:23:02.0 8 Up 20
09:47:10.0 11 Down 5
12:12:01.0 12 Up 12
17:10:15.0 5 Up 8
20:25:02.0 4 Down 2
05:57:20.0 3 Up 16
04:20:30.0 8 Up 10
04:54:55.0 8 Up 21
21:38:44.0 8 Up 13
04:47:02.0 1 Up 3
14:06:06.0 13 Down 10
20:14:29.0 16 Down 14
03:10:51.0 14 Down 8
11:27:37.0 7 Down 6
18:20:29.0 14 Up 21
18:54:09.0 8 Down 1
13:16:35.0 13 Down 6
07:57:44.0 18 Up 19
03:48:00.0 12 Up 18
07:04:47.0 5 Up 7
06:34:55.0 18 Down 16
00:24:32.0 18 Up 20
06:03:38.0 2 Down 1
12:55:07.0 15 Up 19
01:05:37.0 1 Up 15
15:16:19.0 12 Down 1
03:59:18.0 2 Down 1
00:54:27.0 14 Up 16
09:05:39.0 4 Down 1
02:07:32.0 10 Up 19
09:54:25.0 15 Up 20
18:30:40.0 10 Up 11
00:40:02.0 2 Down 1
05:22:46.0 15 Down 5
06:58:06.0 6 Down 5
22:55:07.0 3 Down 2
05:44:17.0 20 Up 20
01:19:53.0 1 Up 14
01:03:18.0 16 Up 18
08:22:20.0 18 Down 17
07:14:05.0 14 Up 14
12:47:06.0 14 Up 21
23:23:05.0 12 Down 2
19:10:29.0 9 Up 21
11:37:16.0 16 Up 16
19:21:00.0 7 Down 4
18:29:41.0 1 Up 14
02:58:44.0 2 Up 21
13:38:46.0 5 Down 4
18:23:27.0 17 Up 18
16:32:21.0 14 Up 17
00:28:42.0 12 Down 1
12:15:01.0 5 Down 1
05:30:57.0 18 Up 21
08:51:59.0 5 Down 2
20:23:29.0 2 Down 1
04:48:09.0 1 Up 14
05:56:40.0 4 Down 3
01:55:38.0 21 Up 21
08:13:49.0 2 Up 2
23:49:04.0 18 Up 18
13:10:57.0 9 Down 2
06:56:11.0 13 Down 6
17:34:23.0 14 Down 12
15:18:11.0 9 Down 5
23:55:09.0 13 Up 13
05:04:26.0 18 Down 13
04:31:58.0 7 Up 10
08:12:20.0 5 Down 3
09:00:55.0 12 Down 5
15:57:14.0 15 Up 17
17:45:00.0 8 Up 13
12:35:07.0 12 Down 5
04:44:11.0 16 Down 12
05:46:45.0 9 Down 8
03:44:22.0 16 Up 19
06:06:43.0 17 Up 17
06:40:46.0 15 Up 17
14:08:06.0 14 Down 7
12:05:05.0 16 Down 5
22:21:23.0 12 Down 6
08:28:37.0 2 Down 1
16:42:37.0 10 Down 7
19:49:35.0 17 Down 9
15:50:40.0 14 Up 15
20:46:00.0 15 Down 3
14:42:22.0 9 Up 13
12:22:14.0 18 Down 13
03:37:50.0 4 Up 9
00:05:18.0 21 Down 4
01:53:34.0 12 Up 15
14:40:43.0 3 Up 19
19:24:43.0 18 Up 20
18:20:37.0 21 Up 21
13:14:12.0 7 Down 1
11:06:09.0 16 Up 20
16:39:35.0 14 Up 21
23:18:10.0 4 Down 3
03:49:29.0 1 Up 11
02:07:31.0 7 Down 3
08:46:13.0 11 Down 1
04:49:58.0 4 Down 2
17:49:47.0 19 Up 21
19:46:14.0 4 Up 8
06:14:39.0 16 Up 19
05:10:16.0 7 Up 13
12:49:01.0 18 Down 14
04:17:38.0 5 Up 19
18:24:55.0 13 Up 17
22:17:43.0 8 Down 3
01:52:43.0 16 Up 16
08:00:40.0 11 Down 8
06:40:04.0 6 Down 1
12:43:23.0 19 Up 19
15:17:48.0 12 Down 8
09:29:11.0 15 Up 17
08:18:14.0 16 Down 4
03:35:09.0 2 Up 5
06:38:00.0 4 Up 4
13:05:54.0 10 Up 13
07:33:34.0 1 Up 16
02:28:58.0 10 Down 1
04:12:26.0 13 Up 15
16:18:38.0 8 Down 7
11:08:48.0 11 Up 13
10:34:12.0 7 Up 10
09:20:23.0 1 Up 1
02:01:50.0 11 Up 11
08:43:33.0 7 Down 1
16:51:22.0 11 Up 13
10:11:59.0 16 Up 17
10:44:11.0 16 Up 21
08:46:37.0 16 Up 17
11:10:45.0 20 Up 21
23:46:29.0 18 Up 21
21:41:47.0 11 Down 7
03:18:23.0 7 Up 9
17:07:21.0 9 Down 6
02:17:08.0 18 Down 15
08:13:53.0 10 Down 2
05:17:13.0 4 Up 4
21:54:58.0 5 Down 4
16:08:50.0 15 Up 15
08:46:52.0 11 Down 1
04:33:23.0 18 Up 19
20:59:29.0 14 Up 19
03:46:03.0 15 Up 17
15:33:38.0 12 Down 4
06:17:44.0 7 Up 12
16:00:00.0 16 Up 16
06:20:20.0 7 Up 7
12:24:02.0 13 Down 10
21:59:34.0 1 Up 11
17:30:49.0 1 Up 4
20:39:35.0 11 Up 12
20:28:30.0 6 Up 16
15:18:27.0 19 Down 6
23:34:38.0 13 Up 15
05:11:28.0 9 Down 4
16:43:59.0 20 Up 21
12:21:37.0 11 Up 19
14:32:33.0 18 Down 10
08:28:08.0 11 Up 20
04:48:20.0 19 Up 20
05:58:12.0 11 Down 1
22:28:02.0 13 Down 11
11:49:11.0 6 Up 6
01:09:58.0 13 Down 6
02:47:46.0 15 Up 17
14:47:49.0 10 Up 21
16:45:15.0 14 Up 15
01:24:29.0 3 Up 3
08:23:03.0 18 Up 19
07:09:24.0 17 Down 2
07:28:58.0 17 Down 12
06:47:10.0 7 Up 14
21:18:41.0 18 Up 19
06:54:23.0 21 Up 21
15:18:46.0 16 Up 16
18:43:57.0 1 Up 13
17:35:19.0 11 Down 8
02:04:13.0 18 Up 20
06:05:03.0 7 Up 19
08:08:39.0 21 Up 21
15:56:09.0 12 Up 12
21:38:21.0 11 Down 9
14:31:28.0 5 Down 2
02:58:26.0 13 Up 15
09:38:01.0 10 Up 10
07:14:29.0 3 Down 1
06:43:09.0 17 Up 20
15:05:21.0 11 Down 7
10:23:49.0 15 Up 17
13:00:15.0 15 Up 17
03:26:32.0 15 Up 21
10:37:10.0 18 Down 11
08:56:44.0 8 Up 18
